date,competition,home_team,score,away_team,venue
2021-07-10,2021 Gold Cup,Mexico,0-0,Trinidad and Tobago,"Arlington, Texas, United States"
2021-07-14,2021 Gold Cup,Guatemala,0-3,Mexico,"Dallas, Texas, United States"
2021-07-18,2021 Gold Cup,Mexico,1-0,El Salvador,"Dallas, Texas, United States"
2021-07-24,2021 Gold Cup QF,Mexico,3-0,Honduras,"Glendale, Arizona, United States"
2021-07-29,2021 Gold Cup SF,Mexico,2-1,Canada,"Houston, Texas, United States"
2021-08-01,2021 Gold Cup Final,United States,1-0,Mexico,"Paradise, Nevada, United States"
2021-09-02,2022 World Cup qualification,Mexico,2-1,Jamaica,"Mexico City, Mexico"
2021-09-05,2022 World Cup qualification,Costa Rica,0-1,Mexico,"San José, Costa Rica"
2021-09-08,2022 World Cup qualification,Panama,1-1,Mexico,"Panama City, Panama"
2021-10-07,2022 World Cup qualification,Mexico,1-1,Canada,"Mexico City, Mexico"
2021-10-10,2022 World Cup qualification,Mexico,3-0,Honduras,"Mexico City, Mexico"
2021-10-13,2022 World Cup qualification,El Salvador,0-2,Mexico,"San Salvador, El Salvador"
2021-10-27,Friendly,Mexico,2-3,Ecuador,"Charlotte, North Carolina, United States"
2021-11-12,2022 World Cup qualification,United States,2-0,Mexico,"Cincinnati, Ohio, United States"
2021-11-16,2022 World Cup qualification,Canada,2-1,Mexico,"Edmonton, Canada"
2021-12-08,Friendly,Mexico,2-2,Chile,"Austin, Texas, United States"
2022-01-27,2022 World Cup qualification,Jamaica,1-2,Mexico,"Kingston, Jamaica"
2022-01-30,2022 World Cup qualification,Mexico,0-0,Costa Rica,"Mexico City, Mexico"
2022-02-02,2022 World Cup qualification,Mexico,1-0,Panama,"Mexico City, Mexico"
2022-03-24,2022 World Cup qualification,Mexico,0-0,United States,"Mexico City, Mexico"
2022-03-27,2022 World Cup qualification,Honduras,0-1,Mexico,"San Pedro Sula, Honduras"
2022-03-30,2022 World Cup qualification,Mexico,2-0,El Salvador,"Mexico City, Mexico"
2022-04-27,Friendly,Mexico,0-0,Guatemala,"Orlando, Florida, United States"
2022-05-28,Friendly,Mexico,2-1,Nigeria,"Arlington, Texas, United States"
2022-06-02,Friendly,Mexico,0-3,Uruguay,"Glendale, Arizona, United States"
2022-06-05,Friendly,Mexico,0-0,Ecuador,"Chicago, Illinois, United States"
2022-06-11,Nations League,Mexico,3-0,Suriname,"Torreón, Mexico"
2022-06-14,Nations League,Jamaica,1-1,Mexico,"Kingston, Jamaica"
2022-08-31,Friendly,Mexico,0-1,Paraguay,"Atlanta, Georgia, United States"
2022-09-24,Friendly,Mexico,1-0,Peru,"Pasadena, California, United States"
2022-09-27,Friendly,Mexico,2-3,Colombia,"Santa Clara, California, United States"
2022-11-09,Friendly,Mexico,4-0,Iraq,"Girona, Spain"
2022-11-16,Friendly,Mexico,1-2,Sweden,"Girona, Spain"
2022-11-22,2022 World Cup,Mexico,0-0,Poland,"Doha, Qatar"
2022-11-26,2022 World Cup,Argentina,2-0,Mexico,"Lusail, Qatar"
2022-11-30,2022 World Cup,Saudi Arabia,1-2,Mexico,"Lusail, Qatar"
2023-03-23,Nations League,Suriname,0-2,Mexico,"Paramaribo, Suriname"
2023-03-26,Nations League,Mexico,2-2,Jamaica,"Mexico City, Mexico"
2023-04-19,Continental Clásico,United States,1-1,Mexico,"Glendale, Arizona, United States"
2023-06-07,Friendly,Mexico,2-0,Guatemala,"Mazatlán, Mexico"
2023-06-10,Friendly,Mexico,2-2,Cameroon,"San Diego, California, United States"
2023-06-15,Nations League SF,United States,3-0,Mexico,"Paradise, Nevada, United States"
2023-06-25,2023 CONCACAF Gold Cup,Mexico,4-0,Honduras,"Houston, Texas, United States"
2023-06-29,2023 CONCACAF Gold Cup,Haiti,1-3,Mexico,"Glendale, Arizona, United States"
2023-07-02,2023 CONCACAF Gold Cup,Mexico,0-1,Qatar,"Santa Clara, California, United States"
2023-07-08,Gold Cup QF,Mexico,2-0,Costa Rica,"Arlington, Texas, United States"
2023-07-12,Gold Cup SF,Jamaica,0-3,Mexico,"Paradise, Nevada, United States"
2023-07-16,Gold Cup F,Mexico,1-0,Panama,"Inglewood, California, United States"
2023-09-09,Friendly,Mexico,2-2,Australia,"Arlington, Texas, United States"
2023-09-12,Friendly,Mexico,3-3,Uzbekistan,"Atlanta, Georgia, United States"
2023-10-14,Friendly,Mexico,2-0,Ghana,"Charlotte, North Carolina, United States"
2023-10-17,Friendly,Mexico,2-2,Germany,"Philadelphia, Pennsylvania, United States"
2023-11-17,Nations League QF,Honduras,2-0,Mexico,"Tegucigalpa, Honduras"
2023-11-21,Nations League QF,Mexico,2-0,Honduras,"Mexico City, Mexico"
2023-12-16,Friendly,Mexico,2-3,Colombia,"Los Angeles, California, United States"
2024-03-21,Nations League SF,Panama,0-3,Mexico,"Arlington, Texas, United States"
2024-03-24,Nations League F,United States,2-0,Mexico,"Arlington, Texas, United States"
2024-05-31,Friendly,Mexico,1-0,Bolivia,"Chicago, Illinois, United States"
2024-06-05,Friendly,Mexico,0-4,Uruguay,"Denver, Colorado, United States"
2024-06-08,Friendly,Mexico,2-3,Brazil,"College Station, Texas, United States"
2024-06-22,2024 Copa América,Mexico,1-0,Jamaica,"Houston, Texas, United States"
2024-06-26,2024 Copa América,Venezuela,1-0,Mexico,"Inglewood, California, United States"
2024-06-30,2024 Copa América,Mexico,0-0,Ecuador,"Glendale, Arizona, United States"
2024-09-07,Friendly,Mexico,3-0,New Zealand,"Pasadena, California, United States"
2024-09-10,Friendly,Mexico,0-0,Canada,"Arlington, Texas, United States"
2024-10-15,Friendly,Mexico,2-0,United States,"Zapopan, Mexico"
2024-11-15,Nations League QF 1st Leg,Honduras,2-0,Mexico,"San Pedro Sula, Honduras"
2024-11-19,Nations League QF 2nd Leg,Mexico,4-0,Honduras,"Toluca, Mexico"
2025-03-20,Nations League SF,Canada,0-2,Mexico,"Inglewood, California, United States"
2025-03-23,Nations League F,Mexico,2-1,Panama,"Inglewood, California, United States"
2025-06-07,Friendly,Mexico,2-4,Switzerland,"Salt Lake City, Utah, United States"
2025-06-10,Friendly,Mexico,1-0,Turkey,"Chapel Hill, North Carolina, United States"
2025-06-14,2025 CONCACAF Gold Cup,Mexico,3-2,Dominican Republic,"Inglewood, California, United States"
2025-06-18,2025 CONCACAF Gold Cup,Suriname,0-2,Mexico,"Arlington, Texas, United States"
2025-06-22,2025 CONCACAF Gold Cup,Mexico,0-0,Costa Rica,"Paradise, Nevada, United States"
2025-06-28,2025 Gold Cup QF,Mexico,2-0,Saudi Arabia,"Glendale, Arizona, United States"
2025-07-02,2025 Gold Cup SF,Mexico,1-0,Honduras,"Santa Clara, California, United States"
2025-07-06,2025 Gold Cup F,United States,1-2,Mexico,"Houston, Texas, United States"
2025-09-06,Friendly,Mexico,0-0,Japan,"Oakland, California, United States"
2025-09-09,Friendly,Mexico,2-2,South Korea,"Nashville, Tennessee, United States"
2025-10-11,Friendly,Mexico,0-4,Colombia,"Arlington, Texas, United States"
2025-10-14,Friendly,Mexico,1-1,Ecuador,"Zapopan, Mexico"
2025-11-15,Friendly,Mexico,0-0,Uruguay,"Torreón, Mexico"
2025-11-18,Friendly,Mexico,1-2,Paraguay,"San Antonio, Texas, United States"
2026-01-22,Friendly,Panama,0-1,Mexico,"Panama City, Panama"
2026-01-25,Friendly,Bolivia,0-1,Mexico,"Santa Cruz de la Sierra, Bolivia"
2026-02-25,Friendly,Mexico,4-0,Iceland,"Querétaro, Mexico"
2026-03-28,Friendly,Mexico,0-0,Portugal,"Mexico City, Mexico"
2026-03-31,Friendly,Mexico,1-1,Belgium,"Chicago, Illinois, United States"
2020-10-08,Friendly,South Africa,1-1,Namibia,"Phokeng, South Africa"
2020-10-11,Friendly,South Africa,1-2,Zambia,"Phokeng, South Africa"
2020-11-13,2021 AFCONQ,South Africa,2-0,São Tomé and Príncipe,"Johannesburg, South Africa"
2020-11-16,2021 AFCONQ,São Tomé and Príncipe,2-4,South Africa,"Port Elizabeth, South Africa"
2021-03-25,2021 AFCONQ,South Africa,1-1,Ghana,"Johannesburg, South Africa"
2021-03-28,2021 AFCONQ,Sudan,2-0,South Africa,"Omdurman, Sudan"
2021-06-10,Friendly,South Africa,3-2,Uganda,"Johannesburg, South Africa"
2021-09-03,2022 World Cup qualification,Zimbabwe,0-0,South Africa,"Harare, Zimbabwe"
2021-09-06,2022 World Cup qualification,South Africa,1-0,Ghana,"Johannesburg, South Africa"
2021-10-09,2022 World Cup qualification,Ethiopia,1-3,South Africa,"Bahir Dar, Ethiopia"
2021-10-12,2022 World Cup qualification,South Africa,1-0,Ethiopia,"Johannesburg, South Africa"
2021-11-11,2022 World Cup qualification,South Africa,1-0,Zimbabwe,"Johannesburg, South Africa"
2021-11-14,2022 World Cup qualification,Ghana,1-0,South Africa,"Cape Coast, Ghana"
2022-03-25,Friendly,South Africa,0-0,Guinea,"Kortrijk, Belgium"
2022-03-29,Friendly,France,5-0,South Africa,"Villeneuve d'Ascq, France"
2022-06-09,2023 AFCON Q,Morocco,2-1,South Africa,"Rabat, Morocco"
2022-07-22,2022 CHAN qualification,Comoros,0-1,South Africa,"Saint Pierre, Mauritius"
2022-07-30,2022 CHAN qualification,South Africa,0-0,Comoros,"Soweto, South Africa"
2022-08-28,2022 CHAN qualification,Angola,2-0,South Africa,"Luanda, Angola"
2022-09-04,2022 CHAN qualification,South Africa,1-4,Angola,"Soweto, South Africa"
2022-09-24,Friendly,South Africa,4-0,Sierra Leone,"Johannesburg, South Africa"
2022-09-27,Friendly,South Africa,1-0,Botswana,"Johannesburg, South Africa"
2022-11-17,Friendly,South Africa,2-1,Mozambique,"Nelspruit, South Africa"
2022-11-20,Friendly,South Africa,1-1,Angola,"Nelspruit, South Africa"
2023-03-24,2023 AFCON qualification,South Africa,2-2,Liberia,"Johannesburg, South Africa"
2023-03-28,2023 AFCON qualification,Liberia,1-2,South Africa,"Monrovia, Liberia"
2023-06-17,2023 AFCON qualification,South Africa,2-1,Morocco,"Johannesburg, South Africa"
2023-07-05,2023 COSAFA Cup GS,South Africa,1-1,Namibia,"Durban, South Africa"
2023-07-08,2023 COSAFA Cup GS,South Africa,2-1,Botswana,"Durban, South Africa"
2023-07-11,2023 COSAFA Cup GS,South Africa,2-1,Eswatini,"Durban, South Africa"
2023-07-14,2023 COSAFA Cup Semi-final,South Africa,1-2,Zambia,"Durban, South Africa"
2023-07-16,2023 COSAFA Cup Third-place,Mozambique,0-0,South Africa,"Durban, South Africa"
2023-09-09,Friendly,South Africa,0-0,Namibia,"Johannesburg, South Africa"
2023-09-12,Friendly,South Africa,1-0,DR Congo,"Johannesburg, South Africa"
2023-10-13,Friendly,South Africa,0-0,Eswatini,"Soweto, South Africa"
2023-10-17,Friendly,Ivory Coast,1-1,South Africa,"Abidjan, Ivory Coast"
2023-11-18,2026 FIFA World Cup qualification,South Africa,2-1,Benin,"Durban, South Africa"
2023-11-21,2026 FIFA World Cup qualification,Rwanda,2-0,South Africa,"Butare, Rwanda"
2024-01-10,Friendly,South Africa,0-0,Lesotho,"Pretoria, South Africa"
2024-01-16,2023 AFCON GS,Mali,2-0,South Africa,"Korhogo, Ivory Coast"
2024-01-21,2023 AFCON GS,South Africa,4-0,Namibia,"Korhogo, Ivory Coast"
2024-01-24,2023 AFCON GS,South Africa,0-0,Tunisia,"Korhogo, Ivory Coast"
2024-01-30,2023 AFCON R16,Morocco,0-2,South Africa,"San Pédro, Ivory Coast"
2024-02-03,2023 Africa Cup of Nations QF,Cape Verde,0-0,South Africa,"Yamoussoukro, Ivory Coast"
2024-02-07,2023 Africa Cup of Nations SF,Nigeria,1-1,South Africa,"Bouaké, Ivory Coast"
2024-02-10,2023 AFCON 3rd,South Africa,0-0,DR Congo,"Abidjan, Ivory Coast"
2024-03-21,2024 FIFA Series,Andorra,1-1,South Africa,"Annaba, Algeria"
2024-03-26,2024 FIFA Series,Algeria,3-3,South Africa,"Algiers, Algeria"
2024-06-07,2026 FIFA World Cup qualification,Nigeria,1-1,South Africa,"Uyo, Nigeria"
2024-06-11,2026 FIFA World Cup qualification,South Africa,3-1,Zimbabwe,"Bloemfontein, South Africa"
2024-06-26,2024 COSAFA Cup,South Africa,1-1,Mozambique,"Gqeberha, South Africa"
2024-06-29,2024 COSAFA Cup,South Africa,0-0,Botswana,"Gqeberha, South Africa"
2024-07-02,2024 COSAFA Cup,South Africa,1-0,Eswatini,"Gqeberha, South Africa"
2024-09-06,2025 AFCON qualification,South Africa,2-2,Uganda,"Johannesburg, South Africa"
2024-09-10,2025 AFCON qualification,South Sudan,2-3,South Africa,"Juba, South Sudan"
2024-10-11,2025 AFCON qualification,South Africa,5-0,Congo,"Gqeberha, South Africa"
2024-10-14,2025 AFCON qualification,Congo,1-1,South Africa,"Brazzaville, Congo"
2024-11-10,2025 AFCON qualification,Uganda,0-2,South Africa,"Kampala, Uganda"
2024-11-19,2025 AFCON qualification,South Africa,3-0,South Sudan,"Cape Town, South Africa"
2025-03-02,CHAN qualification,South Africa,1-1,Egypt,"Bloemfontein, South Africa"
2025-03-08,CHAN qualification,Egypt,1-3,South Africa,"Ismailia, Egypt"
2025-03-21,2026 FIFA World Cup qualification,South Africa,2-0,Lesotho,"Polokwane, South Africa"
2025-03-25,2026 FIFA World Cup qualification,Benin,0-2,South Africa,"Abidjan, Ivory Cost"
2025-05-03,CHAN qualification,Malawi,1-0,South Africa,"Lilongwe, Malawi"
2025-05-11,CHAN qualification,South Africa,2-0,Malawi,"Pretoria, South Africa"
2025-06-04,2025 COSAFA Cup,South Africa,0-1,Mozambique,"Bloemfontein, South Africa"
2025-06-06,Friendly,South Africa,0-0,Tanzania,"Polokwane, South Africa"
2025-06-07,2025 COSAFA Cup,South Africa,2-0,Zimbabwe,"Bloemfontein, South Africa"
2025-06-10,2025 COSAFA Cup,South Africa,0-0,Mauritius,"Bloemfontein, South Africa"
2025-06-10,Friendly,South Africa,2-0,Mozambique,"Polokwane, South Africa"
2025-06-13,2025 COSAFA Cup,South Africa,3-1,Comoros,"Bloemfontein, South Africa"
2025-06-15,2025 COSAFA Cup,Angola,3-0,South Africa,"Bloemfontein, South Africa"
2025-11-15,friendly,South Africa,3-1,Zambia,South Africa
2020-11-17,Friendly,South Korea,2-1,Qatar,"Maria Enzersdorf, Austria"
2021-03-25,Friendly,Japan,3-0,South Korea,"Yokohama, Japan"
2021-06-05,2022 FIFA World Cup (Qualification),South Korea,5-0,Turkmenistan,"Goyang, South Korea"
2021-06-09,2022 FIFA World Cup (Qualification),Sri Lanka,0-5,South Korea,"Goyang, South Korea"
2021-06-13,2022 FIFA World Cup (Qualification),South Korea,2-1,Lebanon,"Goyang, South Korea"
2021-09-02,2022 FIFA World Cup (Qualification),South Korea,0-0,Iraq,"Seoul, South Korea"
2021-09-07,2022 FIFA World Cup (Qualification),South Korea,1-0,Lebanon,"Suwon, South Korea"
2021-10-07,2022 FIFA World Cup (Qualification),South Korea,2-1,Syria,"Ansan, South Korea"
2021-10-12,2022 FIFA World Cup (Qualification),Iran,1-1,South Korea,"Tehran, Iran"
2021-11-11,2022 FIFA World Cup (Qualification),South Korea,1-0,United Arab Emirates,"Goyang, South Korea"
2021-11-16,2022 FIFA World Cup (Qualification),Iraq,0-3,South Korea,"Doha, Qatar"
2022-01-15,Friendly,Iceland,1-5,South Korea,"Antalya, Turkey"
2022-01-21,Friendly,South Korea,4-0,Moldova,"Antalya, Turkey"
2022-01-27,2022 FIFA World Cup (Qualification),Lebanon,0-1,South Korea,"Sidon, Lebanon"
2022-02-01,2022 FIFA World Cup (Qualification),Syria,0-2,South Korea,"Dubai, United Arab Emirates"
2022-03-24,2022 FIFA World Cup (Qualification),South Korea,2-0,Iran,"Seoul,South Korea"
2022-03-29,2022 FIFA World Cup (Qualification),United Arab Emirates,1-0,South Korea,"Dubai, United Arab Emirates"
2022-06-02,Friendly,South Korea,1-5,Brazil,"Seoul, South Korea"
2022-06-06,Friendly,South Korea,2-0,Chile,"Daejeon, South Korea"
2022-06-10,Friendly,South Korea,2-2,Paraguay,"Suwon, South Korea"
2022-06-14,Friendly,South Korea,4-1,Egypt,"Seoul, South Korea"
2022-07-20,2022 EAFF Championship,China,0-3,South Korea,"Toyota, Japan"
2022-07-24,2022 EAFF Championship,South Korea,3-0,Hong Kong,"Toyota, Japan"
2022-07-27,2022 EAFF Championship,Japan,3-0,South Korea,"Toyota, Japan"
2022-09-23,Friendly,South Korea,2-2,Costa Rica,"Goyang, South Korea"
2022-09-27,Friendly,South Korea,1-0,Cameroon,"Seoul, South Korea"
2022-11-11,Friendly,South Korea,1-0,Iceland,"Hwaseong, South Korea"
2022-11-24,2022 FIFA World Cup (Group H),Uruguay,0-0,South Korea,"Al Rayyan, Qatar"
2022-11-28,2022 FIFA World Cup (Group H),South Korea,2-3,Ghana,"Al Rayyan, Qatar"
2022-12-02,2022 FIFA World Cup (Group H),South Korea,2-1,Portugal,"Al Rayyan, Qatar"
2022-12-05,2022 FIFA World Cup (Round of 16),Brazil,4-1,South Korea,"Doha, Qatar"
2023-03-24,Friendly,South Korea,2-2,Colombia,"Ulsan, South Korea"
2023-03-28,Friendly,South Korea,1-2,Uruguay,"Seoul, South Korea"
2023-06-16,Friendly,South Korea,0-1,Peru,"Busan, South Korea"
2023-06-20,Friendly,South Korea,1-1,El Salvador,"Daejeon, South Korea"
2023-09-07,Friendly,Wales,0-0,South Korea,"Cardiff, Wales"
2023-09-12,Friendly,Saudi Arabia,0-1,South Korea,"Newcastle upon Tyne, England"
2023-10-13,Friendly,South Korea,4-0,Tunisia,"Seoul, South Korea"
2023-10-17,Friendly,South Korea,6-0,Vietnam,"Suwon, South Korea"
2023-11-16,2026 FIFA World Cup (Qualification),South Korea,5-0,Singapore,"Seoul, South Korea"
2023-11-21,2026 FIFA World Cup (Qualification),China,0-3,South Korea,"Shenzhen, China"
2024-01-06,Friendly,South Korea,1-0,Iraq,"Abu Dhabi, United Arab Emirates"
2024-01-15,2023 AFC Asian Cup (Group E),South Korea,3-1,Bahrain,"Al Rayyan, Qatar"
2024-01-20,2023 AFC Asian Cup (Group E),Jordan,2-2,South Korea,"Doha, Qatar"
2024-01-25,2023 AFC Asian Cup (Group E),South Korea,3-3,Malaysia,"Al Wakrah, Qatar"
2024-01-30,2023 AFC Asian Cup (Round of 16),Saudi Arabia,1-1,South Korea,"Al Rayyan, Qatar"
2024-02-02,2023 AFC Asian Cup (Quarter-finals),Australia,1-2,South Korea,"Al Wakrah, Qatar"
2024-02-06,2023 AFC Asian Cup (Semi-finals),Jordan,2-0,South Korea,"Al Rayyan, Qatar"
2024-03-21,2026 FIFA World Cup (Qualification),South Korea,1-1,Thailand,"Seoul, South Korea"
2024-03-26,2026 FIFA World Cup (Qualification),Thailand,0-3,South Korea,"Bangkok, Thailand"
2024-06-06,2026 FIFA World Cup (Qualification),Singapore,0-7,South Korea,"Kallang, Singapore"
2024-06-11,2026 FIFA World Cup (Qualification),South Korea,1-0,China,"Seoul, South Korea"
2024-09-05,2026 FIFA World Cup (Qualification),South Korea,0-0,Palestine,"Seoul, South Korea"
2024-09-10,2026 FIFA World Cup (Qualification),Oman,1-3,South Korea,"Muscat, Oman"
2024-10-10,2026 FIFA World Cup (Qualification),Jordan,0-2,South Korea,"Amman, Jordan"
2024-10-15,2026 FIFA World Cup (Qualification),South Korea,3-2,Iraq,"Yongin, South Korea"
2024-11-14,2026 FIFA World Cup (Qualification),Kuwait,1-3,South Korea,"Kuwait City, Kuwait"
2024-11-19,2026 FIFA World Cup (Qualification),Palestine,1-1,South Korea,"Amman, Jordan"
2025-03-20,2026 FIFA World Cup (Qualification),South Korea,1-1,Oman,"Goyang, South Korea"
2025-03-25,2026 FIFA World Cup (Qualification),South Korea,1-1,Jordan,"Suwon, South Korea"
2025-06-05,2026 FIFA World Cup (Qualification),Iraq,0-2,South Korea,"Basra, Iraq"
2025-06-10,2026 FIFA World Cup (Qualification),South Korea,4-0,Kuwait,"Seoul, South Korea"
2025-07-07,2025 EAFF Championship,South Korea,3-0,China,"Yongin, South Korea"
2025-07-11,2025 EAFF Championship,South Korea,2-0,Hong Kong,"Yongin, South Korea"
2025-07-15,2025 EAFF Championship,South Korea,0-1,Japan,"Yongin, South Korea"
2025-09-06,Friendly,United States,0-2,South Korea,"Harrison, United States"
2025-10-10,Friendly,South Korea,0-5,Brazil,"Seoul, South Korea"
2025-10-14,Friendly,South Korea,2-0,Paraguay,"Seoul, South Korea"
2025-11-14,Friendly,South Korea,2-0,Bolivia,"Daejeon, South Korea"
2025-11-18,Friendly,South Korea,1-0,Ghana,"Seoul, South Korea"
2026-03-28,Friendly,South Korea,0-4,Ivory Coast,"Milton Keynes, England"
2026-03-31,Friendly,Austria,1-0,South Korea,"Vienna, Austria"
2020-09-04,Nations League,Italy,1-1,Bosnia and Herzegovina,"Florence, Italy"
2020-09-07,Nations League,Bosnia and Herzegovina,1-2,Poland,"Zenica, Bosnia and Herzegovina"
2020-10-08,Euro qualifying PO,Bosnia and Herzegovina,1-1,Northern Ireland,"Sarajevo, Bosnia and Herzegovina"
2020-10-11,Nations League,Bosnia and Herzegovina,0-0,Netherlands,"Zenica, Bosnia and Herzegovina"
2020-10-14,Nations League,Poland,3-0,Bosnia and Herzegovina,"Wrocław, Poland"
2020-11-12,Friendly,Bosnia and Herzegovina,0-2,Iran,"Sarajevo, Bosnia and Herzegovina"
